№ з/п,Код за ЄДРПОУ балансоутримувача,Повне найменування балансоутримувача,Місцезнаходження балансоутримувача,Код суб'єкта управління майном,Назва суб'єкта управління майном,"Кількість нерухомого державного майна (будівель та споруд), крім майна, розташованого на території АР Крим тв м. Севастополя"
856,14310709,"ДЕРЖАВНЕ ПІДПРИЄМСТВО ""НАУКОВО-ДОСЛІДНИЙ ІНСТИТУТ ""ОРІОН""","3057 М.КИЇВ, ШЕВЧЕНКІВСЬКИЙ Р-Н, ВУЛ.ЕЖЕНА ПОТЬЄ, БУД. 8-А",11085,МІНІСТЕРСТВО ОСВІТИ І НАУКИ УКРАЇНИ ,13
857,03072603,"ДЕРЖАВНИЙ ПРОФЕСІЙНО-ТЕХНІЧНИЙ НАВЧАЛЬНИЙ ЗАКЛАД ""КУЛИКІВСЬКИЙ ПРОФЕСІЙНИЙ АГРАРНИЙ ЛІЦЕЙ""","16300 ЧЕРНІГІВСЬКА ОБЛ., КУЛИКІВСЬКИЙ Р-Н, СМТ КУЛИКІВКА, ВУЛ.МИРУ, БУД. 43",11085,МІНІСТЕРСТВО ОСВІТИ І НАУКИ УКРАЇНИ ,49
858,20296310,"ДЕРЖАВНИЙ ПРОФЕСІЙНО-ТЕХНІЧНИЙ НАВЧАЛЬНИЙ ЗАКЛАД ""СОЛОНЯНСЬКИЙ ПРОФЕСІЙНИЙ АГРАРНИЙ ЛІЦЕЙ""","52400 ДНІПРОПЕТРОВСЬКА ОБЛ., СОЛОНЯНСЬКИЙ Р-Н, СМТ СОЛОНЕ, ВУЛ.СТРОМЕНКА, БУД. 4",11085,МІНІСТЕРСТВО ОСВІТИ І НАУКИ УКРАЇНИ ,11
859,20164324,"ДЕРЖАВНИЙ ПРОФЕСІЙНО-ТЕХНІЧНИЙ НАВЧАЛЬНИЙ ЗАКЛАД ""ПЕТРОВСЬКИЙ ПРОФЕСІЙНИЙ ЛІЦЕЙ""","94540 ЛУГАНСЬКА ОБЛ., М.ХРУСТАЛЬНИЙ, М.ПЕТРОВО-КРАСНОСІЛЛЯ, ВУЛ.ЛЕНІНА, БУД. 17",11085,МІНІСТЕРСТВО ОСВІТИ І НАУКИ УКРАЇНИ ,5
860,20098449,НАВЧАЛЬНО-МЕТОДИЧНИЙ ЦЕНТР ПРОФЕСІЙНО-ТЕХНІЧНОЇ ОСВІТИ У ВІННИЦЬКІЙ ОБЛАСТІ,"21009 М.ВІННИЦЯ, ВУЛ.КИЇВСЬКА, БУД. 46",11085,МІНІСТЕРСТВО ОСВІТИ І НАУКИ УКРАЇНИ ,5
861,20097154,ВІННИЦЬКИЙ ТЕХНІЧНИЙ КОЛЕДЖ,"21021 М.ВІННИЦЯ, ВУЛ.ХМЕЛЬНИЦЬКЕ ШОСЕ, БУД. 91/2",11085,МІНІСТЕРСТВО ОСВІТИ І НАУКИ УКРАЇНИ ,6
862,20096887,"ДЕРЖАВНИЙ НАВЧАЛЬНИЙ ЗАКЛАД ""ВІННИЦЬКИЙ ЦЕНТР ПРОФЕСІЙНО-ТЕХНІЧНОЇ ОСВІТИ ПЕРЕРОБНОЇ ПРОМИСЛОВОСТІ""","21011 М.ВІННИЦЯ, ВУЛ.ВАТУТІНА, БУД. 72",11085,МІНІСТЕРСТВО ОСВІТИ І НАУКИ УКРАЇНИ ,22
863,20060961,УКРАЇНСЬКИЙ ДЕРЖАВНИЙ ЦЕНТР ПОЗАШКІЛЬНОЇ ОСВІТИ,"1021 М.КИЇВ, ПЕЧЕРСЬКИЙ Р-Н, КЛОВСЬКИЙ УЗВІЗ, БУД. 8",11085,МІНІСТЕРСТВО ОСВІТИ І НАУКИ УКРАЇНИ ,20
864,16459396,"НАЦІОНАЛЬНИЙ УНІВЕРСИТЕТ ""КИЄВО-МОГИЛЯНСЬКА АКАДЕМІЯ""","4070 М.КИЇВ, ПОДІЛЬСЬКИЙ Р-Н, ВУЛ.ГРИГОРІЯ СКОВОРОДИ, БУД. 2",11085,МІНІСТЕРСТВО ОСВІТИ І НАУКИ УКРАЇНИ ,33
865,19097120,НАВЧАЛЬНО-МЕТОДИЧНИЙ ЦЕНТР ПРОФЕСІЙНО-ТЕХНІЧНОЇ ОСВІТИ У ДНІПРОПЕТРОВСЬКІЙ ОБЛАСТІ,"49006 М.ДНІПРО, ЧЕЧЕЛІВСЬКИЙ Р-Н, ПРОСП.ПУШКІНА, БУД. 36",11085,МІНІСТЕРСТВО ОСВІТИ І НАУКИ УКРАЇНИ ,6
866,19173602,ІНСТИТУТ ФІЗИЧНОЇ ОПТИКИ ІМЕНІ О.Г.ВЛОХА МІНІСТЕРСТВА ОСВІТИ І НАУКИ УКРАЇНИ,"79005 М.ЛЬВІВ, ГАЛИЦЬКИЙ Р-Н, ВУЛ.ДРАГОМАНОВА, БУД. 23",11085,МІНІСТЕРСТВО ОСВІТИ І НАУКИ УКРАЇНИ ,2
867,20507190,"ДЕРЖАВНИЙ НАВЧАЛЬНИЙ ЗАКЛАД ""ВІЛЬНЯНСЬКИЙ ПРОФЕСІЙНИЙ ЛІЦЕЙ""","70002 ЗАПОРІЗЬКА ОБЛ., ВІЛЬНЯНСЬКИЙ Р-Н, М.ВІЛЬНЯНСЬК, ВУЛ.ПУШКІНА, БУД. 4-Л",11085,МІНІСТЕРСТВО ОСВІТИ І НАУКИ УКРАЇНИ ,19
868,20986842,"ДЕРЖАВНИЙ НАВЧАЛЬНИЙ ЗАКЛАД ""ІСАЄВСЬКИЙ ПРОФЕСІЙНИЙ АГРАРНИЙ ЛІЦЕЙ""","67023 ОДЕСЬКА ОБЛ., МИКОЛАЇВСЬКИЙ Р-Н, С.ІСАЄВЕ, ВУЛ.НАБЕРЕЖНА, БУД. 15",11085,МІНІСТЕРСТВО ОСВІТИ І НАУКИ УКРАЇНИ ,55
869,05536707,БІЛОЦЕРКІВСЬКИЙ КОЛЕДЖ СЕРВІСУ ТА ДИЗАЙНУ,"9100 КИЇВСЬКА ОБЛ., М.БІЛА ЦЕРКВА, ВУЛ.ШЕВЧЕНКА, БУД. 91",11085,МІНІСТЕРСТВО ОСВІТИ І НАУКИ УКРАЇНИ ,4
870,05537963,КЕЛЬМЕНЕЦЬКИЙ ПРОФЕСІЙНИЙ ЛІЦЕЙ,"60100 ЧЕРНІВЕЦЬКА ОБЛ., КЕЛЬМЕНЕЦЬКИЙ Р-Н, СМТ КЕЛЬМЕНЦІ, ВУЛ.ГРУШЕВСЬКОГО, БУД. 31",11085,МІНІСТЕРСТВО ОСВІТИ І НАУКИ УКРАЇНИ ,22
871,05537975,"ДЕРЖАВНИЙ ПРОФЕСІЙНО-ТЕХНІЧНИЙ НАВЧАЛЬНИЙ ЗАКЛАД ""ЧЕРНІВЕЦЬКИЙ ПРОФЕСІЙНИЙ ЛІЦЕЙ ЗАЛІЗНИЧНОГО ТРАНСПОРТУ""","58000 М.ЧЕРНІВЦІ, ВУЛ.КАПЕЛАНСЬКА, БУД. 27",11085,МІНІСТЕРСТВО ОСВІТИ І НАУКИ УКРАЇНИ ,23
872,05537986,"ДЕРЖАВНИЙ ПРОФЕСІЙНО-ТЕХНІЧНИЙ НАВЧАЛЬНИЙ ЗАКЛАД ""ЧЕРНІВЕЦЬКИЙ ПРОФЕСІЙНИЙ ЛІЦЕЙ СФЕРИ ПОСЛУГ""","58023 М.ЧЕРНІВЦІ, ВУЛ.РУСЬКА, БУД. 228 Б",11085,МІНІСТЕРСТВО ОСВІТИ І НАУКИ УКРАЇНИ ,5
873,05537992,ЧЕРНІВЕЦЬКЕ ВИЩЕ ПРОФЕСІЙНЕ УЧИЛИЩЕ РАДІОЕЛЕКТРОНІКИ,"58032 М.ЧЕРНІВЦІ, ВУЛ.ПІВДЕННО-КІЛЬЦЕВА, БУД. 8",11085,МІНІСТЕРСТВО ОСВІТИ І НАУКИ УКРАЇНИ ,4
874,05538033,"ДЕРЖАВНИЙ НАВЧАЛЬНИЙ ЗАКЛАД ""КАНІВСЬКЕ ВИЩЕ ПРОФЕСІЙНЕ УЧИЛИЩЕ""","19001 ЧЕРКАСЬКА ОБЛ., М.КАНІВ, ВУЛ.ЕНЕРГЕТИКІВ, БУД. 143",11085,МІНІСТЕРСТВО ОСВІТИ І НАУКИ УКРАЇНИ ,103
875,05538046,"ДЕРЖАВНИЙ НАВЧАЛЬНИЙ ЗАКЛАД ""ЖАШКІВСЬКИЙ АГРАРНО-ТЕХНОЛОГІЧНИЙ ПРОФЕСІЙНИЙ ЛІЦЕЙ""","19200 ЧЕРКАСЬКА ОБЛ., ЖАШКІВСЬКИЙ Р-Н, М.ЖАШКІВ, ВУЛ.ПЕРЕМОГИ, БУД. 38",11085,МІНІСТЕРСТВО ОСВІТИ І НАУКИ УКРАЇНИ ,16
876,05538052,"ДЕРЖАВНИЙ НАВЧАЛЬНИЙ ЗАКЛАД ""ЧЕРКАСЬКИЙ ПРОФЕСІЙНИЙ ЛІЦЕЙ""","18034 М.ЧЕРКАСИ, СОСНІВСЬКИЙ Р-Н, ВУЛ.ОЛЕКСІЯ ПАНЧЕНКА, БУД. 13",11085,МІНІСТЕРСТВО ОСВІТИ І НАУКИ УКРАЇНИ ,3
877,05540712,ПРИДНІПРОВСЬКА ДЕРЖАВНА АКАДЕМІЯ ФІЗИЧНОЇ КУЛЬТУРИ І СПОРТУ,"49094 М.ДНІПРО, СОБОРНИЙ Р-Н, ВУЛ.НАБЕРЕЖНА ПЕРЕМОГИ, БУД. 10",11085,МІНІСТЕРСТВО ОСВІТИ І НАУКИ УКРАЇНИ ,26
878,21150324,ПРОФЕСІЙНО-ТЕХНІЧНЕ УЧИЛИЩЕ №34 СМТ. КОРОПЕЦЬ,"48370 ТЕРНОПІЛЬСЬКА ОБЛ., МОНАСТИРИСЬКИЙ Р-Н, СМТ КОРОПЕЦЬ, ВУЛ.КАГАНЦЯ, БУД. 3",11085,МІНІСТЕРСТВО ОСВІТИ І НАУКИ УКРАЇНИ ,5
879,21083042,КВАСИЛІВСЬКИЙ ПРОФЕСІЙНИЙ ЛІЦЕЙ,"35350 РІВНЕНСЬКА ОБЛ., РІВНЕНСЬКИЙ Р-Н, СМТ КВАСИЛІВ, ВУЛ.МОЛОДІЖНА, БУД. 30",11085,МІНІСТЕРСТВО ОСВІТИ І НАУКИ УКРАЇНИ ,6
880,20578801,"ДЕРЖАВНИЙ НАВЧАЛЬНИЙ ЗАКЛАД ""КИЇВСЬКЕ ОБЛАСНЕ ВИЩЕ ПРОФЕСІЙНЕ УЧИЛИЩЕ ХАРЧОВИХ ТЕХНОЛОГІЙ ТА РЕСТОРАННОГО СЕРВІСУ""","2099 М.КИЇВ, ДАРНИЦЬКИЙ Р-Н, ВУЛ.ЗРОШУВАЛЬНА, БУД. 5-А",11085,МІНІСТЕРСТВО ОСВІТИ І НАУКИ УКРАЇНИ ,2
881,20988338,"ДЕРЖАВНИЙ НАВЧАЛЬНИЙ ЗАКЛАД ""ОДЕСЬКЕ ВИЩЕ ПРОФЕСІЙНЕ УЧИЛИЩЕ ТОРГІВЛІ ТА ТЕХНОЛОГІЙ ХАРЧУВАННЯ""","65101 М.ОДЕСА, КИЇВСЬКИЙ Р-Н, ВУЛ.ІНГЛЕЗІ, БУД. 6, КОРП. А",11085,МІНІСТЕРСТВО ОСВІТИ І НАУКИ УКРАЇНИ ,7
882,13855594,ПІВДЕННА АКАДЕМІЯ ПІДВИЩЕННЯ КВАЛІФІКАЦІЇ КАДРІВ МІНІСТЕРСТВА ПРОМИСЛОВОЇ ПОЛІТИКИ УКРАЇНИ,"54008 М.МИКОЛАЇВ, ІНГУЛЬСЬКИЙ Р-Н, ВУЛ.ЛОГОВЕНКА, БУД. 2",11085,МІНІСТЕРСТВО ОСВІТИ І НАУКИ УКРАЇНИ ,1
883,13393314,"""КРАСНОЛУЦЬКИЙ ПРИЛАДОБУДІВНИЙ ТЕХНІКУМ""","94518 ЛУГАНСЬКА ОБЛ., М.ХРУСТАЛЬНИЙ, ПЛОЩА ТРОФИМОВА, БУД. 1",11085,МІНІСТЕРСТВО ОСВІТИ І НАУКИ УКРАЇНИ ,6
884,20986836,"ДЕРЖАВНИЙ НАВЧАЛЬНИЙ ЗАКЛАД ""ТАРУТИНСЬКИЙ ПРОФЕСІЙНИЙ АГРАРНИЙ ЛІЦЕЙ""","68500 ОДЕСЬКА ОБЛ., ТАРУТИНСЬКИЙ Р-Н, СМТ ТАРУТИНЕ, ВУЛ.КРАСНА, БУД. 185",11085,МІНІСТЕРСТВО ОСВІТИ І НАУКИ УКРАЇНИ ,16
885,20986776,ФОНТАНСЬКА ЗАГАЛЬНООСВІТНЯ ШКОЛА СОЦІАЛЬНОЇ РЕАБІЛІТАЦІЇ,"67571 ОДЕСЬКА ОБЛ., ЛИМАНСЬКИЙ Р-Н, С.ФОНТАНКА, ВУЛ.СТЕПНА, БУД. 13",11085,МІНІСТЕРСТВО ОСВІТИ І НАУКИ УКРАЇНИ ,16
886,20965633,"ДЕРЖАВНИЙ ПРОФЕСІЙНО-ТЕХНІЧНИЙ НАВЧАЛЬНИЙ ЗАКЛАД ""ЗАХАРІВСЬКИЙ ПРОФЕСІЙНИЙ ЛІЦЕЙ""","66700 ОДЕСЬКА ОБЛ., ЗАХАРІВСЬКИЙ Р-Н, СМТ ЗАХАРІВКА, ВУЛ.ШКІЛЬНА, БУД. 24",11085,МІНІСТЕРСТВО ОСВІТИ І НАУКИ УКРАЇНИ ,20
887,20949806,"ДЕРЖАВНИЙ НАВЧАЛЬНИЙ ЗАКЛАД ""ТАТАРБУНАРСЬКЕ ПРОФЕСІЙНО-ТЕХНІЧНЕ АГРАРНЕ УЧИЛИЩЕ""","68100 ОДЕСЬКА ОБЛ., ТАТАРБУНАРСЬКИЙ Р-Н, М.ТАТАРБУНАРИ, ВУЛ.ЦЕНТРАЛЬНА, БУД. 1",11085,МІНІСТЕРСТВО ОСВІТИ І НАУКИ УКРАЇНИ ,38
888,20933314,"НАЦІОНАЛЬНИЙ УНІВЕРСИТЕТ ""ОДЕСЬКА ЮРИДИЧНА АКАДЕМІЯ""","65009 М.ОДЕСА, ПРИМОРСЬКИЙ Р-Н, ФОНТАНСЬКА ДОРОГА, БУД. 23",11085,МІНІСТЕРСТВО ОСВІТИ І НАУКИ УКРАЇНИ ,142
889,20915954,"ДЕРЖАВНИЙ ВИЩИЙ НАВЧАЛЬНИЙ ЗАКЛАД ""МИКОЛАЇВСЬКИЙ ПОЛІТЕХНІЧНИЙ КОЛЕДЖ""","54030 М.МИКОЛАЇВ, ЦЕНТРАЛЬНИЙ Р-Н, ВУЛ.НІКОЛЬСЬКА, БУД. 11-А",11085,МІНІСТЕРСТВО ОСВІТИ І НАУКИ УКРАЇНИ ,27
890,13673284,"ДЕРЖАВНЕ ПІДПРИЄМСТВО ""УКРАЇНСЬКИЙ НАУКОВИЙ ЦЕНТР РОЗВИТКУ ІНФОРМАЦІЙНИХ ТЕХНОЛОГІЙ""","3187 М.КИЇВ, ГОЛОСІЇВСЬКИЙ Р-Н, ПРОСП.АКАДЕМІКА ГЛУШКОВА, БУД. 44",11085,МІНІСТЕРСТВО ОСВІТИ І НАУКИ УКРАЇНИ ,1
891,20835913,ЛЬВІВСЬКИЙ ПРОФЕСІЙНИЙ КОЛЕДЖ ГОТЕЛЬНО-ТУРИСТИЧНОГО ТА РЕСТОРАННОГО СЕРВІСУ,"79060 М.ЛЬВІВ, ФРАНКІВСЬКИЙ Р-Н, ВУЛ.ПУЛЮЯ, БУД. 36",11085,МІНІСТЕРСТВО ОСВІТИ І НАУКИ УКРАЇНИ ,7
892,20783665,ЛЬВІВСЬКИЙ ДЕРЖАВНИЙ БУДИНОК ТЕХНІКИ,"79039 М.ЛЬВІВ, ШЕВЧЕНКІВСЬКИЙ Р-Н, ВУЛ.ЄРОШЕНКА, БУД. 20",11085,МІНІСТЕРСТВО ОСВІТИ І НАУКИ УКРАЇНИ ,1
893,05537940,"ДЕРЖАВНИЙ ПРОФЕСІЙНО-ТЕХНІЧНИЙ НАВЧАЛЬНИЙ ЗАКЛАД ""ЧЕРНІВЕЦЬКИЙ ПРОФЕСІЙНИЙ ЛІЦЕЙ АВТОМОБІЛЬНОГО СЕРВІСУ""","58000 М.ЧЕРНІВЦІ, ВУЛ.САДОВСЬКОГО, БУД. 6",11085,МІНІСТЕРСТВО ОСВІТИ І НАУКИ УКРАЇНИ ,15
894,21070008,МІЖРЕГІОНАЛЬНИЙ ЦЕНТР ПРОФЕСІЙНОЇ ПЕРЕПІДГОТОВКИ ЗВІЛЬНЕНИХ У ЗАПАС ВІЙСЬКОВОСЛУЖБОВЦІВ М. ХОРОЛ ПОЛТАВСЬКОЇ ОБЛАСТІ,"37800 ПОЛТАВСЬКА ОБЛ., ХОРОЛЬСЬКИЙ Р-Н, М.ХОРОЛ, ВУЛ.НЕБЕСНОЇ СОТНІ, БУД. 38/1",11085,МІНІСТЕРСТВО ОСВІТИ І НАУКИ УКРАЇНИ ,58
895,05407864,ЧЕРКАСЬКИЙ ПОЛІТЕХНІЧНИЙ ТЕХНІКУМ,"18000 М.ЧЕРКАСИ, СОСНІВСЬКИЙ Р-Н, ВУЛ.НАДПІЛЬНА, БУД. 226",11085,МІНІСТЕРСТВО ОСВІТИ І НАУКИ УКРАЇНИ ,10
896,05385631,КРЕМЕНЧУЦЬКИЙ НАЦІОНАЛЬНИЙ УНІВЕРСИТЕТ ІМЕНІ МИХАЙЛА ОСТРОГРАДСЬКОГО,"39614 ПОЛТАВСЬКА ОБЛ., М.КРЕМЕНЧУК, АВТОЗАВОДСЬКИЙ Р-Н, ВУЛ.ПЕРШОТРАВНЕВА, БУД. 20",11085,МІНІСТЕРСТВО ОСВІТИ І НАУКИ УКРАЇНИ ,58
897,05385750,КРЕМЕНЧУЦЬКИЙ ПРОФЕСІЙНИЙ ЛІЦЕЙ ІМ. А. С. МАКАРЕНКА,"39617 ПОЛТАВСЬКА ОБЛ., М.КРЕМЕНЧУК, АВТОЗАВОДСЬКИЙ Р-Н, ВУЛ.ТРОЇЦЬКА, БУД. 103",11085,МІНІСТЕРСТВО ОСВІТИ І НАУКИ УКРАЇНИ ,4
898,05385766,ПОЛТАВСЬКИЙ ПРОФЕСІЙНИЙ ЛІЦЕЙ СФЕРИ ПОСЛУГ,"36007 М.ПОЛТАВА, КИЇВСЬКИЙ Р-Н, ВУЛ.МАРШАЛА БІРЮЗОВА, БУД. 26/1",11085,МІНІСТЕРСТВО ОСВІТИ І НАУКИ УКРАЇНИ ,2
899,05390336,ЧЕРКАСЬКИЙ ДЕРЖАВНИЙ ТЕХНОЛОГІЧНИЙ УНІВЕРСИТЕТ,"18006 М.ЧЕРКАСИ, ПРИДНІПРОВСЬКИЙ Р-Н, БУЛ.ШЕВЧЕНКА, БУД. 460",11085,МІНІСТЕРСТВО ОСВІТИ І НАУКИ УКРАЇНИ ,34
900,05395374,ХМЕЛЬНИЦЬКИЙ ПРОФЕСІЙНИЙ ЛІЦЕЙ ЕЛЕКТРОНІКИ,"29000 М.ХМЕЛЬНИЦЬКИЙ, ВУЛ.ТЕРНОПІЛЬСЬКА, БУД. 40/1",11085,МІНІСТЕРСТВО ОСВІТИ І НАУКИ УКРАЇНИ ,5
901,05395380,ВИЩЕ ХУДОЖНЄ ПРОФЕСІЙНЕ УЧИЛИЩЕ №19 СМТ. ГРИЦІВ ШЕПЕТІВСЬКИЙ РАЙОН ХМЕЛЬНИЦЬКА ОБЛАСТЬ,"30455 ХМЕЛЬНИЦЬКА ОБЛ., ШЕПЕТІВСЬКИЙ Р-Н, СМТ ГРИЦІВ, ВУЛ.ГОРЬКОГО, БУД. 3",11085,МІНІСТЕРСТВО ОСВІТИ І НАУКИ УКРАЇНИ ,18
902,05395894,НОВОГРАД-ВОЛИНСЬКИЙ ПРОМИСЛОВО-ЕКОНОМІЧНИЙ ТЕХНІКУМ,"11700 ЖИТОМИРСЬКА ОБЛ., М.НОВОГРАД-ВОЛИНСЬКИЙ, ВУЛ.ШЕВЧЕНКА, БУД. 38",11085,МІНІСТЕРСТВО ОСВІТИ І НАУКИ УКРАЇНИ ,20
903,22216516,ПРОФЕСІЙНО-ТЕХНІЧНЕ УЧИЛИЩЕ №30 С.ТОРГОВИЦЯ,"26106 КІРОВОГРАДСЬКА ОБЛ., НОВОАРХАНГЕЛЬСЬКИЙ Р-Н, С.ТОРГОВИЦЯ, ВУЛ.СІРКА, БУД. 42",11085,МІНІСТЕРСТВО ОСВІТИ І НАУКИ УКРАЇНИ ,20
904,22202336,БІЛОЦЕРКІВСЬКИЙ БУДИНОК ХУДОЖНЬОЇ ТВОРЧОСТІ (КИЇВСЬКА ОБЛАСТЬ),"9117 КИЇВСЬКА ОБЛ., М.БІЛА ЦЕРКВА, ВУЛ.БОГДАНА ХМЕЛЬНИЦЬКОГО, БУД. 42/41",11085,МІНІСТЕРСТВО ОСВІТИ І НАУКИ УКРАЇНИ ,1
905,05401844,"ДЕРЖАВНИЙ НАВЧАЛЬНИЙ ЗАКЛАД ""КРАСНОЛУЦЬКИЙ ЦЕНТР ПРОФЕСІЙНО-ТЕХНІЧНОЇ ОСВІТИ""","94518 ЛУГАНСЬКА ОБЛ., М.ХРУСТАЛЬНИЙ, ВУЛ.ЛУГАНСЬКЕ ШОСЕ, БУД. 31",11085,МІНІСТЕРСТВО ОСВІТИ І НАУКИ УКРАЇНИ ,44
906,21902184,"ДЕРЖАВНИЙ ПРОФЕСІЙНО-ТЕХНІЧНИЙ НАВЧАЛЬНИЙ ЗАКЛАД ""КРИВОРІЗЬКИЙ ЦЕНТР ПРОФЕСІЙНОЇ ОСВІТИ""","50037 ДНІПРОПЕТРОВСЬКА ОБЛ., М.КРИВИЙ РІГ, ТЕРНІВСЬКИЙ Р-Н, ВУЛ.ЧЕРВОНОГВАРДІЙСЬКА, БУД. 3",11085,МІНІСТЕРСТВО ОСВІТИ І НАУКИ УКРАЇНИ ,10
907,05403381,ПРОФЕСІЙНО-ТЕХНІЧНЕ УЧИЛИЩЕ №5 М.СВІТЛОВОДСЬК,"27501 КІРОВОГРАДСЬКА ОБЛ., М.СВІТЛОВОДСЬК, ВУЛ.ПРИМОРСЬКА, БУД. 12",11085,МІНІСТЕРСТВО ОСВІТИ І НАУКИ УКРАЇНИ ,10
908,22341233,ОЛЕСЬКИЙ ПРОФЕСІЙНИЙ ЛІЦЕЙ,"80533 ЛЬВІВСЬКА ОБЛ., БУСЬКИЙ Р-Н, СМТ ОЛЕСЬКО, ВУЛ.ВАЛОВА, БУД. 9",11085,МІНІСТЕРСТВО ОСВІТИ І НАУКИ УКРАЇНИ ,31
909,05407870,"ДЕРЖАВНИЙ УНІВЕРСИТЕТ ""ЖИТОМИРСЬКА ПОЛІТЕХНІКА""","10005 М.ЖИТОМИР, БОГУНСЬКИЙ Р-Н, ВУЛ.ЧУДНІВСЬКА, БУД. 103",11085,МІНІСТЕРСТВО ОСВІТИ І НАУКИ УКРАЇНИ ,71
910,05408102,ТЕРНОПІЛЬСЬКИЙ НАЦІОНАЛЬНИЙ ТЕХНІЧНИЙ УНІВЕРСИТЕТ ІМЕНІ ІВАНА ПУЛЮЯ,"46001 М.ТЕРНОПІЛЬ, ВУЛ.РУСЬКА, БУД. 56",11085,МІНІСТЕРСТВО ОСВІТИ І НАУКИ УКРАЇНИ ,60
911,22115778,НАВЧАЛЬНО-МЕТОДИЧНИЙ ЦЕНТР ПРОФЕСІЙНО-ТЕХНІЧНОЇ ОСВІТИ У ЗАКАРПАТСЬКІЙ ОБЛАСТІ,"88007 М.УЖГОРОД, ВУЛ.БУДИТЕЛІВ, БУД. 3/1",11085,МІНІСТЕРСТВО ОСВІТИ І НАУКИ УКРАЇНИ ,1
912,05408289,СУМСЬКИЙ ДЕРЖАВНИЙ УНІВЕРСИТЕТ,"40007 М.СУМИ, ЗАРІЧНИЙ Р-Н, ВУЛ.Р.КОРСАКОВА, БУД. 2",11085,МІНІСТЕРСТВО ОСВІТИ І НАУКИ УКРАЇНИ ,178
913,05408295,КИЇВСЬКИЙ ДЕРЖАВНИЙ КОЛЕДЖ ТУРИЗМУ ТА ГОТЕЛЬНОГО ГОСПОДАРСТВА,"2192 М.КИЇВ, ДНІПРОВСЬКИЙ Р-Н, ВУЛ.ЖМАЧЕНКА, БУД. 26",11085,МІНІСТЕРСТВО ОСВІТИ І НАУКИ УКРАЇНИ ,22
914,22111094,ЗАКАРПАТСЬКИЙ МАШИНОБУДІВНИЙ ТЕХНІКУМ,"90531 ЗАКАРПАТСЬКА ОБЛ., ТЯЧІВСЬКИЙ Р-Н, СМТ ДУБОВЕ, ВУЛ.ГАГАРІНА, БУД. 1",11085,МІНІСТЕРСТВО ОСВІТИ І НАУКИ УКРАЇНИ ,4
915,22050108,ПРОФЕСІЙНО-ТЕХНІЧНЕ УЧИЛИЩЕ №16 М. КОРОСТЕНЯ,"11500 ЖИТОМИРСЬКА ОБЛ., М.КОРОСТЕНЬ, ВУЛ.ГРУШЕВСЬКОГО, БУД. 24/1",11085,МІНІСТЕРСТВО ОСВІТИ І НАУКИ УКРАЇНИ ,9
916,21975177,ЄНАКІЇВСЬКИЙ ДЕРЖАВНИЙ АВІАЦІЙНО-ТЕХНІЧНИЙ СПОРТИВНИЙ КЛУБ,"86400 ДОНЕЦЬКА ОБЛ., М.ЄНАКІЄВЕ, ВУЛ.СТАЛЕВАРІВ, БУД. 15",11085,МІНІСТЕРСТВО ОСВІТИ І НАУКИ УКРАЇНИ ,9
917,21910232,КОЛЕДЖ РАДІОЕЛЕКТРОНІКИ,"49006 М.ДНІПРО, ЧЕЧЕЛІВСЬКИЙ Р-Н, ВУЛ.ШМІДТА, БУД. 18",11085,МІНІСТЕРСТВО ОСВІТИ І НАУКИ УКРАЇНИ ,4
918,21902362,"ДЕРЖАВНИЙ ПРОФЕСІЙНО-ТЕХНІЧНИЙ НАВЧАЛЬНИЙ ЗАКЛАД ""АПОСТОЛІВСЬКИЙ ЦЕНТР ПІДГОТОВКИ ТА ПЕРЕПІДГОТОВКИ РОБІТНИЧИХ КАДРІВ""","53802 ДНІПРОПЕТРОВСЬКА ОБЛ., АПОСТОЛІВСЬКИЙ Р-Н, М.АПОСТОЛОВЕ, ВУЛ.МІЧУРІНА, БУД. 8",11085,МІНІСТЕРСТВО ОСВІТИ І НАУКИ УКРАЇНИ ,16
919,05536751,"ДЕРЖАВНИЙ НАВЧАЛЬНИЙ ЗАКЛАД ""ЦЕНТР ПРОФЕСІЙНОЇ ОСВІТИ ТЕХНОЛОГІЙ ТА ДИЗАЙНУ М. КИЄВА""","4073 М.КИЇВ, ОБОЛОНСЬКИЙ Р-Н, ПРОВ.КУРЕНІВСЬКИЙ, БУД. 4",11085,МІНІСТЕРСТВО ОСВІТИ І НАУКИ УКРАЇНИ ,8
920,05402751,ГАЙВОРОНСЬКИЙ ПОЛІТЕХНІЧНИЙ КОЛЕДЖ,"26300 КІРОВОГРАДСЬКА ОБЛ., ГАЙВОРОНСЬКИЙ Р-Н, М.ГАЙВОРОН, ВУЛ.СВОБОДИ, БУД. 94",11085,МІНІСТЕРСТВО ОСВІТИ І НАУКИ УКРАЇНИ ,15
921,22432875,"ДЕРЖАВНИЙ НАВЧАЛЬНИЙ ЗАКЛАД ""ЮЖНОУКРАЇНСЬКИЙ ПРОФЕСІЙНИЙ ЛІЦЕЙ""","55002 МИКОЛАЇВСЬКА ОБЛ., М.ЮЖНОУКРАЇНСЬК, ПРОСП.НЕЗАЛЕЖНОСТІ, БУД. 37",11085,МІНІСТЕРСТВО ОСВІТИ І НАУКИ УКРАЇНИ ,1
